t,top_strip_signature,boundary_signature,center_signature,top_strip_holonomy,boundary_holonomy,center_holonomy,transfer,boundary_fraction,top_edge_fraction,slip_density,proxy_chern,entropy,pi_a
2.4000000000000004,0.0004068360319930894,0.0015123464331110203,0.0012247326528543696,-5.749726106565103,6.806377255584358,-0.001294539262210792,0.8186778849322587,0.9999964713239857,0.9438046443897324,0.0,4.313903376550994e-21,2.9496166357273617,16.430154155025452
2.5,0.0003548603899743842,0.0012557244489217552,0.0009610134171546886,-5.395260334926729,7.158002215902182,-0.001655343616671745,0.8186903254649027,0.9999974335639393,0.9404517606024129,0.0,-1.752523246723841e-21,2.889307510339502,16.236615612755227
2.6,0.0003112974543052058,0.0010516098161431,0.0007561082274696954,-5.258167489470418,7.291479597134595,-0.002098449432021754,0.8189313319323666,0.9999981322763727,0.9365108900522753,0.016666666666666666,-2.6961896103443712e-22,2.848532671360354,16.04592847035593
2.7,0.0002711750332147292,0.0008837477035494833,0.0005972840812663092,-5.42086501966419,7.1242310781936204,-0.0026591029138096633,0.8193489021248789,0.9999986313391899,0.9319843972338332,0.0,1.685118506465232e-22,2.7907732796308378,15.857611086011376
2.8000000000000003,0.00023934856540273406,0.0007415349570599562,0.0004736537529444578,-5.0688675564860315,7.470508579669106,-0.0033553323505295385,0.8198832381254157,0.9999989861173118,0.9268822760316888,0.0,3.2017251622839406e-22,2.7344317019533544,15.67165150991178
2.9000000000000004,0.00021042559961381938,0.0006263588762000053,0.00037702797992595884,-5.071476995275177,7.460817494291584,-0.004218825580004193,0.8204931763622233,0.9999992481498765,0.9211959354061957,0.0,-1.5166066558187087e-22,2.6794563919402474,15.488036742583846
3.0,0.00018599796820349072,0.0005304334918350597,0.00030125910799798193,-4.973492146526343,7.550116363957001,-0.005284727473152007,0.8211460616335565,0.999999444412677,0.9149323763585502,0.0,-4.21279626616308e-23,2.625802038168396,15.306752911758174
3.1,0.00016447593567673206,0.00045192819105317766,0.00024165209091006972,-5.075347467837714,7.4373956203496,-0.006581994416225534,0.8218165369884577,0.9999995910226199,0.9080621778027973,0.0,2.10639813308154e-23,2.5734284546034996,15.127785417959894
3.2,0.0001463570095931326,0.0003839890640017342,0.00019437465792368795,-4.828886862210283,7.670826344972578,-0.008191480698032105,0.8224846891470405,0.9999996996198128,0.9005799527987698,0.0,-1.3480948051721856e-22,2.522299735162638,14.951119056051558
3.3000000000000003,0.00013104653831369227,0.0003262898820562086,0.0001568914368344404,-4.384918708010719,8.09926641255126,-0.010165556976618806,0.823135662752332,0.9999997796151376,0.8924781571413359,0.0,-2.738317573006002e-23,2.472383335131403,14.776738111380608
3.4000000000000004,0.00011671727293306581,0.0002782077057308454,0.00012712576758004243,-4.1721645189575245,8.293275750112164,-0.012521568566993713,0.8237593030106386,0.9999998385131694,0.8837354508441488,0.0,-4.21279626616308e-24,2.423649207586162,14.604626432414445
3.5,0.0001044985377185517,0.0002385654922150663,0.00010325494719726428,-4.073998665029085,8.365558525873668,-0.015424339352357208,0.824348066500624,0.9999998817477602,0.8743614587563416,0.0,-2.10639813308154e-23,2.3760694566901117,14.434767493255205
3.6,9.306154371933665e-05,0.00020576814856951812,8.421447922049927e-05,-4.179831445132748,8.232945941142177,-0.018895243326470634,0.8248972898402779,0.9999999132956476,0.8642972462374319,0.0,1.369158786503001e-23,2.3296178651987995,14.267144443091865
3.7,8.356702297218096e-05,0.00017715123158152765,6.894592470726974e-05,-3.971765428733497,8.41064540970049,-0.02310088423934764,0.8254040748363165,0.9999999364799184,0.8535503017024215,0.0,-7.37239346578539e-24,2.2842695781659623,14.101740146755972
